idx,x,y,heading,cumulative_dist
0,0.0,0.0,0.0,0.0
1,0.52,0.0045,0.01471,0.52
2,1.0399,0.0156,0.02682,1.04
3,1.5597,0.0325,0.03662,1.56
4,2.0794,0.0535,0.04418,2.08
5,2.5988,0.0776,0.04821,2.6
6,3.1182,0.1038,0.05265,3.12
7,3.6375,0.1329,0.05785,3.64
8,4.1562,0.1631,0.05901,4.16
9,4.6751,0.1953,0.06426,4.68
10,5.1942,0.2289,0.06409,5.2
11,5.713,0.262,0.06416,5.72
12,6.2321,0.296,0.06582,6.24
13,6.7515,0.3303,0.06401,6.761
14,7.2704,0.3641,0.0669,7.281
15,7.7895,0.3982,0.06417,7.801
16,8.3087,0.4314,0.06347,8.321
17,8.8277,0.4645,0.06339,8.841
18,9.3467,0.4981,0.06462,9.361
19,9.8656,0.5321,0.06592,9.881
20,10.3845,0.5667,0.06694,10.401
21,10.9033,0.6013,0.06544,10.921
22,11.4227,0.6352,0.06516,11.442
23,11.9414,0.6701,0.067,11.962
24,12.4597,0.7052,0.06741,12.481
25,12.9783,0.7399,0.06744,13.001
26,13.4973,0.7755,0.06824,13.521
27,14.016,0.8114,0.06875,14.041
28,14.535,0.8465,0.06804,14.561
29,15.0539,0.8826,0.06949,15.081
30,15.5723,0.9189,0.07054,15.601
31,16.0908,0.9551,0.0694,16.121
32,16.6099,0.9913,0.06908,16.641
33,17.1285,1.0263,0.06514,17.161
34,17.6478,1.0597,0.06246,17.681
35,18.1667,1.0922,0.0631,18.201
36,18.686,1.1256,0.06457,18.722
37,19.2047,1.1594,0.06545,19.241
38,19.7235,1.1939,0.06734,19.761
39,20.2427,1.2284,0.06544,20.282
40,20.7617,1.2625,0.06616,20.802
41,21.2809,1.2966,0.06555,21.322
42,21.7995,1.3313,0.06773,21.842
43,22.3184,1.3659,0.06553,22.362
44,22.8371,1.3996,0.06377,22.882
45,23.356,1.4335,0.06609,23.402
46,23.8751,1.4686,0.06731,23.922
47,24.3936,1.5036,0.06689,24.442
48,24.9122,1.5383,0.06655,24.961
49,25.4307,1.5731,0.0685,25.481
50,25.9492,1.6085,0.06901,26.001
51,26.4678,1.6443,0.06889,26.521
52,26.9867,1.6803,0.0684,27.041
53,27.5054,1.7161,0.06871,27.561
54,28.0241,1.7515,0.06882,28.081
55,28.5432,1.7868,0.0664,28.601
