t,mode,link_ok,erpm_left,erpm_right,motor_current,gyro_z,compass_heading,est_x,est_y,est_heading,gt_x,gt_y,gt_heading
0.0,RECORDING,1,1735.21,1738.28,13.864,0.00085,0.04379,0.04,0.0,0.00087,0.0396,0.0,0.0
0.02,RECORDING,1,1735.38,1740.68,14.254,0.01437,0.06912,0.0801,0.0001,0.00247,0.0783,0.0,0.0
0.04,RECORDING,1,1737.81,1736.98,13.0,0.01255,0.06863,0.1201,0.0003,0.00406,0.1168,0.0,0.0
0.06,RECORDING,1,1738.23,1729.47,12.954,-0.0049,0.04893,0.16,0.0005,0.00487,0.1555,0.0,0.0
0.08,RECORDING,1,1737.46,1736.05,14.313,-0.00242,0.07058,0.2,0.0007,0.00609,0.1947,0.0,0.0
0.1,RECORDING,1,1737.81,1733.59,15.031,0.00957,0.09158,0.24,0.0011,0.00788,0.2332,0.0,0.0
0.12,RECORDING,1,1733.75,1733.28,13.794,0.00294,0.07471,0.28,0.0014,0.00925,0.2725,0.0,0.0
0.14,RECORDING,1,1737.23,1734.45,13.426,-0.00121,0.08483,0.3199,0.0018,0.01074,0.3128,0.0,0.0
0.16,RECORDING,1,1733.0,1737.21,14.256,-0.0109,0.06512,0.3599,0.0023,0.01157,0.3517,0.0,0.0
0.18,RECORDING,1,1741.46,1728.18,13.807,0.00294,0.04579,0.3999,0.0028,0.0123,0.3905,0.0,0.0
0.2,RECORDING,1,1738.23,1735.99,13.121,0.01228,0.07243,0.4399,0.0034,0.01375,0.4294,0.0,0.0
0.22,RECORDING,1,1740.02,1742.0,14.217,0.00519,0.03799,0.48,0.0039,0.01432,0.4687,0.0,0.0
0.24,RECORDING,1,1738.7,1733.79,13.728,-0.00865,0.04243,0.52,0.0045,0.01471,0.508,0.0,0.0
0.26,RECORDING,1,1734.11,1741.39,12.781,-0.01058,0.0623,0.56,0.0051,0.01547,0.5471,0.0,0.0
0.28,RECORDING,1,1742.01,1738.55,12.86,-0.02118,0.06502,0.6001,0.0058,0.01607,0.5861,0.0,0.0
0.3,RECORDING,1,1733.29,1731.76,14.586,0.01502,0.06878,0.64,0.0065,0.01737,0.6254,0.0,0.0
0.32,RECORDING,1,1737.22,1737.97,14.956,0.01019,0.07768,0.6801,0.0072,0.0187,0.6653,0.0,0.0
0.34,RECORDING,1,1738.43,1729.96,14.769,0.01355,0.07705,0.72,0.008,0.02007,0.7041,0.0,0.0
0.36,RECORDING,1,1728.34,1733.7,14.505,-0.01411,0.06159,0.7599,0.0088,0.02059,0.744,0.0,0.0
0.38,RECORDING,1,1740.31,1730.99,14.966,0.00952,0.06434,0.7998,0.0097,0.02159,0.7838,0.0,0.0
0.4,RECORDING,1,1737.54,1738.84,14.072,0.01546,0.05009,0.8399,0.0106,0.02245,0.8224,0.0,0.0
0.42,RECORDING,1,1734.58,1740.4,14.016,-0.0048,0.082,0.8799,0.0115,0.02352,0.861,0.0,0.0
0.44,RECORDING,1,1742.1,1734.46,13.172,0.00265,0.05629,0.9199,0.0125,0.02423,0.9008,0.0,0.0
0.46,RECORDING,1,1735.04,1741.85,13.384,0.01661,0.03486,0.96,0.0135,0.02477,0.9398,0.0,0.0
0.48,RECORDING,1,1733.09,1738.76,14.677,0.01259,0.07295,1.0,0.0145,0.02593,0.9789,0.0,0.0
0.5,RECORDING,1,1736.81,1736.85,14.345,0.00224,0.0701,1.0399,0.0156,0.02682,1.0184,0.0,0.0
0.52,RECORDING,1,1738.53,1736.24,14.458,0.00966,0.10528,1.08,0.0168,0.02852,1.0581,0.0,0.0
0.54,RECORDING,1,1737.54,1734.53,13.776,0.00387,0.08047,1.1199,0.0179,0.02961,1.0974,0.0,0.0
0.56,RECORDING,1,1734.89,1737.78,15.102,-0.02165,0.04548,1.1599,0.0191,0.02948,1.1375,0.0,0.0
0.58,RECORDING,1,1737.21,1737.83,14.143,-0.00031,0.07675,1.1999,0.0203,0.0304,1.1772,0.0,0.0
0.6,RECORDING,1,1737.36,1734.15,15.458,0.00755,0.05848,1.2399,0.0216,0.03106,1.2171,0.0,0.0
0.62,RECORDING,1,1735.84,1735.33,13.962,-0.02328,0.05309,1.2799,0.0228,0.03103,1.2566,0.0,0.0
0.64,RECORDING,1,1740.27,1731.56,13.96,0.01354,0.07994,1.3198,0.0241,0.03225,1.2961,0.0,0.0
0.66,RECORDING,1,1742.2,1729.43,13.788,0.00059,0.07451,1.3598,0.0254,0.0331,1.3355,0.0,0.0
0.68,RECORDING,1,1740.6,1725.5,14.653,-0.01048,0.0796,1.3997,0.0268,0.03378,1.3748,0.0,0.0
0.7,RECORDING,1,1730.27,1736.94,14.717,0.00251,0.07005,1.4396,0.0282,0.03451,1.4136,0.0,0.0
0.72,RECORDING,1,1739.42,1736.8,13.947,0.01933,0.08373,1.4796,0.0296,0.03585,1.4532,0.0,0.0
0.74,RECORDING,1,1735.06,1747.22,13.312,0.01315,0.05459,1.5197,0.0311,0.03649,1.4924,0.0,0.0
0.76,RECORDING,1,1736.77,1739.06,14.133,0.01039,0.03305,1.5597,0.0325,0.03662,1.5322,0.0,0.0
0.78,RECORDING,1,1730.2,1738.7,13.422,-0.00627,0.031,1.5997,0.034,0.03639,1.5708,0.0,0.0
0.8,RECORDING,1,1741.3,1739.22,14.884,-0.00538,0.067,1.6397,0.0355,0.03686,1.6101,0.0,0.0
0.82,RECORDING,1,1731.67,1739.3,14.954,-0.0049,0.0985,1.6797,0.037,0.03792,1.6495,0.0,0.0
0.84,RECORDING,1,1740.19,1735.52,12.817,0.01807,0.05575,1.7197,0.0385,0.03864,1.6883,0.0,0.0
0.86,RECORDING,1,1733.82,1737.83,14.246,0.01898,0.0437,1.7597,0.0401,0.03911,1.7274,0.0,0.0
0.88,RECORDING,1,1740.78,1742.19,14.871,0.00219,0.05204,1.7998,0.0417,0.0394,1.766,0.0,0.0
0.9,RECORDING,1,1740.31,1736.7,14.075,0.01824,0.05807,1.8398,0.0433,0.04012,1.8046,0.0,0.0
0.92,RECORDING,1,1727.05,1734.69,12.888,0.01219,0.06434,1.8796,0.0449,0.04085,1.8439,0.0,0.0
0.94,RECORDING,1,1733.79,1736.2,14.5,0.00479,0.09178,1.9196,0.0466,0.04192,1.8827,0.0,0.0
0.96,RECORDING,1,1735.99,1740.4,14.895,0.0201,0.05359,1.9596,0.0483,0.04253,1.922,0.0,0.0
0.98,RECORDING,1,1739.76,1728.73,13.35,-0.01563,0.08145,1.9995,0.05,0.043,1.9613,0.0,0.0
